run_id,param_name,param_value,exp_name,success,run_time,ate_rmse_mm,ate_mean_mm,ate_median_mm,comments,elapsed
0,baseline,default,tune_000_baseline_default,True,400.0,17.22,14.56,14.75,nan,403.3
1,keyframe_subsample,2,tune_001_keyframe_subsample_2,True,470.0,11.64,9.62,6.91,nan,473.3
2,keyframe_subsample,4,tune_002_keyframe_subsample_4,True,400.0,17.22,14.56,14.75,nan,403.3
3,keyframe_subsample,6,tune_003_keyframe_subsample_6,True,380.1,10.93,9.11,7.31,nan,383.3
4,keyframe_subsample,8,tune_004_keyframe_subsample_8,True,370.0,14.27,12.37,10.73,nan,373.3
5,depth_scale,1.0,tune_005_depth_scale_1p0,True,400.0,7.14,6.54,6.12,nan,403.3
6,depth_scale,3.0,tune_006_depth_scale_3p0,True,410.0,17.22,14.56,14.75,nan,414.4
7,depth_scale,5.0,tune_007_depth_scale_5p0,True,410.0,11.41,9.78,9.49,nan,413.4
8,depth_scale,10.0,tune_008_depth_scale_10p0,True,400.0,14.46,12.80,12.11,nan,403.4
9,tracking_ba_iterations,5,tune_009_tracking_ba_iterations_5,True,400.0,12.11,10.10,8.61,nan,403.3
10,tracking_ba_iterations,10,tune_010_tracking_ba_iterations_10,True,400.0,15.55,13.60,11.82,nan,403.3
11,tracking_ba_iterations,20,tune_011_tracking_ba_iterations_20,True,400.0,17.22,14.56,14.75,nan,403.3
12,tracking_ba_iterations,30,tune_012_tracking_ba_iterations_30,True,400.0,15.50,13.17,9.89,nan,403.3
13,local_ba_size,5,tune_013_local_ba_size_5,True,400.1,13.69,11.30,10.13,nan,403.3
14,local_ba_size,10,tune_014_local_ba_size_10,True,400.0,6.76,6.06,6.46,nan,403.3
15,local_ba_size,20,tune_015_local_ba_size_20,True,400.1,16.44,13.80,13.64,nan,403.3
16,local_ba_size,30,tune_016_local_ba_size_30,True,400.0,17.22,14.56,14.75,nan,403.3
17,section_length,8,tune_017_section_length_8,True,410.1,11.46,9.98,8.50,nan,413.4
18,section_length,13,tune_018_section_length_13,True,410.1,17.22,14.56,14.75,nan,413.4
19,section_length,16,tune_019_section_length_16,True,400.0,12.77,11.00,9.22,nan,403.4
20,tracked_point_num_min,50,tune_020_tracked_point_num_min_50,True,390.0,12.21,10.87,10.04,nan,393.4
21,tracked_point_num_min,100,tune_021_tracked_point_num_min_100,True,400.0,12.69,11.29,10.33,nan,403.3
22,tracked_point_num_min,200,tune_022_tracked_point_num_min_200,True,410.0,17.22,14.56,14.75,nan,413.4
23,tracked_point_num_min,400,tune_023_tracked_point_num_min_400,True,430.0,15.53,12.97,9.91,nan,433.4
24,point_sampler,uniform,tune_024_point_sampler_uniform,True,420.0,17.22,14.56,14.75,nan,423.6
25,point_sampler,sift,tune_025_point_sampler_sift,True,440.0,11.63,10.30,10.04,nan,443.7
26,point_sampler,orb,tune_026_point_sampler_orb,True,410.0,11.53,9.06,8.12,nan,413.3
27,point_sampler,r2d2,tune_027_point_sampler_r2d2,True,420.0,7.79,6.85,5.82,nan,423.3
28,pose_guesser,last_pose,tune_028_pose_guesser_last_pose,True,410.0,17.22,14.56,14.75,nan,413.3
29,pose_guesser,constant_velocity,tune_029_pose_guesser_constant_velocity,False,170.0,FAIL,N/A,N/A,nan,172.4
30,global_ba_iterations,0,tune_030_global_ba_iterations_0,True,460.2,17.22,14.56,14.75,nan,463.6
31,global_ba_iterations,5,tune_031_global_ba_iterations_5,True,450.0,17.23,14.60,15.05,nan,453.7
32,global_ba_iterations,10,tune_032_global_ba_iterations_10,True,500.0,17.91,15.27,16.00,nan,503.7
33,cotracker_model,cotracker_stride_4_wind_8,tune_033_cotracker_model_cotracker_stride_4_wind_8,True,480.0,17.22,14.56,14.75,nan,483.8
34,cotracker_model,cotracker_stride_4_wind_12,tune_034_cotracker_model_cotracker_stride_4_wind_12,True,560.1,18.65,15.77,13.68,nan,563.7
