run_id,param_name,value,default,exp_name,ate_rmse_mm,ate_mean_mm,ate_median_mm,n_tracked,n_evaluated,run_time,elapsed
0,baseline,-,-,sage_ablation_baseline,4.79,4.26,3.94,104,103,140.0871479511261,0
1,tracking_max_num_iters,20,40,sage_ablation_tracking_max_num_iters_20,3.29,2.82,2.60,37,36,120.05073761940002,0
2,tracking_max_num_iters,60,40,sage_ablation_tracking_max_num_iters_60,2.30,2.00,1.96,20,19,110.0361270904541,0
3,tracking_max_num_iters,80,40,sage_ablation_tracking_max_num_iters_80,3.06,2.74,2.63,40,39,120.04009652137756,0
4,tracking_max_num_iters,100,40,sage_ablation_tracking_max_num_iters_100,1.31,1.03,0.77,17,16,110.0363793373108,0
5,tracking_desc_num_keypoints,128,256,sage_ablation_tracking_desc_num_keypoints_128,,,,,,50.03484201431274,0
6,tracking_desc_num_keypoints,512,256,sage_ablation_tracking_desc_num_keypoints_512,,,,,,50.03435778617859,0
7,tracking_desc_num_keypoints,1024,256,sage_ablation_tracking_desc_num_keypoints_1024,1.12,0.97,1.04,17,16,250.0408246517181,0
8,new_kf_min_average_motion,0.02,0.08,sage_ablation_new_kf_min_average_motion_0p02,6.15,5.63,5.32,116,115,120.03642630577087,0
9,new_kf_min_average_motion,0.04,0.08,sage_ablation_new_kf_min_average_motion_0p04,6.10,5.80,6.21,60,59,110.03357815742493,0
10,new_kf_min_average_motion,0.12,0.08,sage_ablation_new_kf_min_average_motion_0p12,5.75,5.08,4.28,146,145,120.0407497882843,0
11,new_kf_min_average_motion,0.2,0.08,sage_ablation_new_kf_min_average_motion_0p2,10.65,9.66,9.51,140,139,120.03402066230774,0
12,new_kf_max_area_ratio,0.7,0.85,sage_ablation_new_kf_max_area_ratio_0p7,18.90,16.13,13.76,209,208,120.0370979309082,0
13,new_kf_max_area_ratio,0.8,0.85,sage_ablation_new_kf_max_area_ratio_0p8,1.63,1.43,1.36,18,17,110.03415179252625,0
14,new_kf_max_area_ratio,0.9,0.85,sage_ablation_new_kf_max_area_ratio_0p9,3.20,2.84,2.63,63,62,110.0368914604187,0
15,new_kf_max_area_ratio,0.95,0.85,sage_ablation_new_kf_max_area_ratio_0p95,18.90,16.13,13.76,209,208,120.03718876838684,0
16,new_kf_max_inlier_ratio,0.8,0.92,sage_ablation_new_kf_max_inlier_ratio_0p8,3.06,2.66,2.70,41,40,110.04926753044128,0
17,new_kf_max_inlier_ratio,0.85,0.92,sage_ablation_new_kf_max_inlier_ratio_0p85,4.80,4.53,4.28,64,63,110.03733682632446,0
18,new_kf_max_inlier_ratio,0.95,0.92,sage_ablation_new_kf_max_inlier_ratio_0p95,1.25,1.04,0.98,17,16,110.03445076942444,0
19,new_kf_max_inlier_ratio,0.98,0.92,sage_ablation_new_kf_max_inlier_ratio_0p98,2.76,2.41,2.00,24,23,110.0350136756897,0
20,temporal_max_back_connections,1,3,sage_ablation_temporal_max_back_connections_1,5.75,5.08,4.28,146,145,100.03688311576845,0
21,temporal_max_back_connections,5,3,sage_ablation_temporal_max_back_connections_5,5.75,5.08,4.28,146,145,130.03854703903198,0
22,temporal_max_back_connections,7,3,sage_ablation_temporal_max_back_connections_7,3.20,2.84,2.63,63,62,140.03706169128418,0
23,factor_iters,500,1000,sage_ablation_factor_iters_500,12.80,10.79,9.01,189,188,120.03390550613403,0
24,factor_iters,2000,1000,sage_ablation_factor_iters_2000,4.79,4.26,3.94,104,103,120.03449726104736,0
25,geo_factor_weight,0.01,0.1,sage_ablation_geo_factor_weight_0p01,2.77,2.46,2.16,23,22,110.03522753715517,0
26,geo_factor_weight,0.05,0.1,sage_ablation_geo_factor_weight_0p05,7.27,6.58,6.42,97,96,110.03460097312929,0
27,geo_factor_weight,0.2,0.1,sage_ablation_geo_factor_weight_0p2,11.89,10.36,8.61,150,149,110.03398370742798,0
28,geo_factor_weight,0.5,0.1,sage_ablation_geo_factor_weight_0p5,2.45,2.13,2.07,20,19,110.03675436973572,0
29,refine_mapping_iters,5,10,sage_ablation_refine_mapping_iters_5,2.30,2.00,1.96,20,19,110.03416514396667,0
30,refine_mapping_iters,20,10,sage_ablation_refine_mapping_iters_20,2.30,2.00,1.96,20,19,110.03530812263487,0
31,refine_mapping_iters,30,10,sage_ablation_refine_mapping_iters_30,3.13,2.90,2.53,21,20,110.03540062904358,0
32,mapping_update_frequency,1.0,2.0,sage_ablation_mapping_update_frequency_1p0,7.82,7.08,6.02,96,95,110.03638505935668,0
33,mapping_update_frequency,4.0,2.0,sage_ablation_mapping_update_frequency_4p0,2.90,2.43,2.30,36,35,110.0353503227234,0
34,desc_num_keypoints,256,512,sage_ablation_desc_num_keypoints_256,1.51,1.28,1.06,20,19,110.03986263275146,0
35,desc_num_keypoints,1024,512,sage_ablation_desc_num_keypoints_1024,2.30,1.92,1.93,17,16,110.04806637763976,0
36,pho_num_samples,1024,3072,sage_ablation_pho_num_samples_1024,5.32,4.59,3.90,127,126,120.03623342514038,0
37,pho_num_samples,2048,3072,sage_ablation_pho_num_samples_2048,4.11,3.69,3.27,54,53,110.03538775444032,0
38,pho_num_samples,4096,3072,sage_ablation_pho_num_samples_4096,6.34,5.90,5.68,82,81,110.03803300857544,0
39,code_factor_weight,0.0001,0.001,sage_ablation_code_factor_weight_0p0001,18.40,14.88,11.04,164,163,110.03058958053587,0
40,code_factor_weight,0.01,0.001,sage_ablation_code_factor_weight_0p01,3.20,2.84,2.63,63,62,110.03461265563963,0
